DPC Values	RV Values
553	18689.8846
554	18701.7628
555	18712.9845
556	18724.4161
557	18735.8411
558	18746.9686
559	18758.3221
560	18766.6102
561	18777.6595
562	18789.5024
563	18800.5761
564	18811.9451
565	18823.3819
566	18834.5954
567	18845.9727
568	18857.2489
569	18868.4204
570	18880.143
571	18890.801
572	18902.0484
573	18912.761
574	18923.7035
575	18934.9831
576	18944.1758
577	18955.7526
578	18966.8483
579	18977.7732
580	18988.7874
581	19000.239
582	19011.2219
583	19022.1121
584	19033.7836
585	19043.6003
586	19055.0165
587	19065.928
588	19077.0778
589	19088.1882
590	19099.8659
591	19110.6765
592	19118.3836
593	19129.0491
594	19140.7245
595	19150.6393
596	19162.3082
597	19172.9096
598	19184.0097
599	19194.8306
600	19205.8099
601	19216.6636
602	19227.7946
603	19238.0063
604	19249.5285
605	19259.876
606	19270.8641
607	19281.4765
608	19289.0139
609	19300.1508
610	19310.7824
611	19321.218
612	19332.4345
613	19342.9013
614	19354.1314
615	19364.6562
616	19375.3371
617	19386.1594
618	19396.7146
619	19407.481
620	19418.2908
621	19428.5739
622	19439.8744
623	19449.8996
624	19457.3397
625	19467.8541
626	19478.6105
627	19489.1341
628	19499.8356
629	19510.2793
630	19521.3006
631	19531.3041
632	19542.486
633	19552.4132
634	19563.2415
635	19573.5228
636	19584.3392
637	19594.5442
638	19605.3835
639	19615.4375
640	19623.1568
641	19632.8328
642	19644.1738
643	19654.2153
644	19665.0593
645	19675.2761
646	19685.8229
647	19695.9837
648	19706.6426
649	19716.4667
650	19727.5977
651	19737.1728
652	19747.8666
653	19758.0734
654	19768.4485
655	19778.7043
656	19786.4735
657	19796.3446
658	19807.1596
659	19816.857
660	19827.8142
661	19837.6074
662	19848.3355
663	19858.4476
664	19868.7683
665	19878.6075
666	19889.3959
667	19898.8848
668	19909.8
669	19919.3299
670	19929.9296
671	19939.68
672	19945.587
673	19955.5245
674	19966.2504
675	19976.0119
676	19986.3605
677	19996.1471
678	20007.0412
679	20016.6863
680	20026.6695
681	20036.4781
682	20046.6554
683	20055.9292
684	20067.1596
685	20076.625
686	20087.0457
687	20096.8847
688	20103.0171
689	20112.836
690	20123.7755
691	20133.1526
692	20143.3613
693	20152.4177
694	20163.1406
695	20173.2044
696	20182.9092
697	20192.594
698	20202.3702
699	20212.5681
700	20222.3774
701	20232.0593
702	20242.2952
703	20251.7362
704	20257.9062
705	20267.5542
706	20277.3938
707	20287.2562
708	20296.808
709	20306.383
710	20316.1556
711	20326.3694
712	20335.9157
713	20345.2381
714	20356.6535
715	20365.5096
716	20375.236
717	20386.1343
718	20395.4935
719	20405.2527
720	20410.8951
721	20420.5573
722	20430.3018
723	20439.4083
724	20449.1484
725	20459.0509
726	20468.6738
727	20478.5458
728	20488.1047
729	20497.4354
730	20507.5527
731	20516.8198
732	20526.8678
733	20535.5824
734	20545.5679
735	20554.9101
736	20561.0624
737	20570.28
738	20580.025
739	20589.6044
740	20599.1611
741	20608.6818
742	20618.424
743	20627.6344
744	20637.4025
745	20646.537
746	20656.2478
747	20665.5592
748	20674.8241
749	20684.5251
750	20693.715
751	20702.9328
752	20709.3415
753	20718.2741
754	20728.1402
755	20737.6295
756	20747.0226
757	20756.5321
758	20765.7005
759	20775.0082
760	20784.696
761	20793.7576
762	20803.3547
763	20812.264
764	20821.9378
765	20830.8542
766	20840.3615
767	20849.5746
768	20849.4645
769	20859.1361
770	20868.0585
771	20877.124
772	20886.1766
773	20895.2706
774	20904.0662
775	20913.2862
776	20922.251
777	20931.7451
778	20940.1244
779	20949.5949
780	20958.3399
781	20967.2667
782	20975.9017
783	20985.2646
784	20993.2458
785	21003.2626
786	21011.6796
787	21021.069
788	21029.9322
789	21038.8223
790	21047.5523
791	21056.7429
792	21065.1377
793	21074.6269
794	21083.0475
795	21092.0487
796	21100.8074
797	21109.6546
798	21118.1953
799	21127.3402
800	21136.0349
801	21145.8545
802	21154.0519
803	21163.4207
804	21172.1161
805	21180.9176
806	21189.5938
807	21198.5928
808	21206.9073
809	21216.2805
810	21224.2202
811	21233.3076
812	21241.821
813	21250.8561
814	21259.0192
815	21267.8352
816	21276.7082
817	21285.8611
818	21294.4313
819	21303.3301
820	21311.9209
821	21320.4277
822	21329.2329
823	21337.5526
824	21346.2215
825	21354.9965
826	21363.3125
827	21372.1826
828	21380.8353
829	21389.2022
830	21397.7974
831	21406.6697
832	21414.1009
833	21423.6855
834	21431.6774
835	21440.49
836	21449.1118
837	21457.5692
838	21465.7983
839	21474.6934
840	21482.8267
841	21491.6031
842	21499.6046
843	21508.8511
844	21516.9041
845	21525.3093
846	21533.6835
847	21542.5638
848	21550.5881
849	21559.1303
850	21567.4404
851	21576.0481
852	21584.2969
853	21592.7706
854	21601.3842
855	21609.5735
856	21617.8883
857	21626.7147
858	21634.5386
859	21643.3114
860	21651.5036
861	21659.7641
862	21668.318
863	21676.3563
864	21684.4808
865	21693.2963
866	21701.2793
867	21709.8885
868	21718.0653
869	21726.1776
870	21734.5511
871	21743.0896
872	21750.873
873	21759.8843
874	21767.7351
875	21776.1911
876	21784.2802
877	21792.2374
878	21800.3411
879	21809.038
880	21815.9034
881	21825.3451
882	21832.8414
883	21841.8293
884	21849.6355
885	21857.9515
886	21866.066
887	21874.149
888	21882.0944
889	21890.157
890	21898.3724
891	21906.6925
892	21914.7535
893	21922.4875
894	21930.8838
895	21939.0227
896	21946.5534
897	21955.3777
898	21963.0034
899	21971.424
900	21979.267
901	21987.3119
902	21995.3001
903	22003.6341
904	22011.2517
905	22019.8955
906	22027.2678
907	22035.7982
908	22043.5292
909	22051.4924
910	22059.4643
911	22067.9921
912	22075.4693
913	22083.4686
914	22091.3919
915	22099.7145
916	22107.71
917	22115.5722
918	22123.0513
919	22131.6281
920	22139.3502
921	22147.4341
922	22154.7607
923	22163.322
924	22170.4548
925	22179.0279
926	22186.2241
927	22194.5158
928	22201.7319
929	22210.1523
930	22217.8237
931	22226.1714
932	22233.3772
933	22241.9694
934	22249.1133
935	22257.2569
936	22265.0366
937	22272.7447
938	22280.6511
939	22288.5509
940	22295.834
941	22304.2254
942	22311.4413
943	22319.6549
944	22326.734
945	22334.826
946	22342.868
947	22350.2012
948	22358.2115
949	22365.7362
950	22373.4053
951	22381.2734
952	22388.7651
953	22396.6118
954	22404.5011
955	22411.8027
956	22419.9404
957	22427.3311
958	22434.8735
959	22442.9117
960	22450.4453
961	22458.7179
962	22466.2522
963	22473.7511
964	22481.7209
965	22489.0747
966	22496.8043
967	22504.3563
968	22511.649
969	22519.6394
970	22527.0396
971	22534.5906
972	22542.2712
973	22549.4541
974	22557.4003
975	22564.721
976	22571.3713
977	22579.5797
978	22586.9638
979	22594.546
980	22601.8483
981	22609.8968
982	22616.7932
983	22624.5184
984	22631.6355
985	22639.8048
986	22646.8368
987	22654.3932
988	22661.9608
989	22669.3626
990	22676.6398
991	22684.6184
992	22691.2233
993	22699.6413
994	22706.5413
995	22714.1125
996	22721.5113
997	22728.8035
998	22736.1168
999	22743.7352
1000	22750.5881
1001	22758.4401
1002	22765.6356
1003	22773.0248
1004	22780.6446
1005	22787.5953
1006	22795.0508
1007	22802.6854
1008	22809.2789
1009	22816.7012
1010	22823.7028
1011	22831.5414
1012	22838.7214
1013	22846.2215
1014	22853.0743
1015	22861.2923
1016	22868.2351
1017	22875.3149
1018	22882.3136
1019	22890.0034
1020	22897.1465
1021	22904.3611
1022	22911.4792
1023	22918.7535
1024	22919.3996
1025	22926.2864
1026	22933.6227
1027	22941.073
1028	22948.7009
1029	22956.2036
1030	22963.1329
1031	22970.4373
1032	22978.3091
1033	22985.5429
1034	22992.6667
1035	23000.1583
1036	23007.6551
1037	23014.8689
1038	23021.87
1039	23029.1477
1040	23034.2052
1041	23041.3521
1042	23048.5365
1043	23055.6526
1044	23063.4809
1045	23070.4443
1046	23077.7731
1047	23084.6965
1048	23092.0717
1049	23099.4749
1050	23106.6991
1051	23113.7949
1052	23121.0162
1053	23128.661
1054	23135.6274
1055	23142.6113
1056	23147.6246
1057	23154.8871
1058	23162.5254
1059	23168.9965
1060	23176.5323
1061	23183.288
1062	23191.226
1063	23197.9417
1064	23204.9168
1065	23212.2022
1066	23219.6724
1067	23226.82
1068	23233.5381
1069	23240.6878
1070	23248.1927
1071	23255.0834
1072	23260.3482
1073	23266.899
1074	23274.6706
1075	23281.5768
1076	23288.9281
1077	23295.501
1078	23302.8269
1079	23309.8441
1080	23317.01
1081	23323.843
1082	23330.8933
1083	23338.435
1084	23345.4837
1085	23352.2696
1086	23359.4768
1087	23366.2413
1088	23370.9613
1089	23377.5438
1090	23384.9087
1091	23391.4176
1092	23399.9838
1093	23405.9394
1094	23413.5312
1095	23420.0717
1096	23426.9643
1097	23434.3639
1098	23440.8874
1099	23447.9039
1100	23454.8989
1101	23461.7826
1102	23469.037
1103	23475.6696
1104	23480.5289
1105	23487.4384
1106	23494.4003
1107	23501.3925
1108	23508.389
1109	23514.9865
1110	23522.4769
1111	23528.6859
1112	23536.232
1113	23542.7599
1114	23549.9083
1115	23556.6573
1116	23563.6244
1117	23570.064
1118	23577.5647
1119	23583.7811
1120	23589.1687
1121	23595.4985
1122	23602.3746
1123	23609.5598
1124	23615.8004
1125	23622.9885
1126	23629.9377
1127	23636.2858
1128	23643.3229
1129	23650.1286
1130	23656.5775
1131	23663.2603
1132	23670.6171
1133	23677.842
1134	23683.8057
1135	23690.7092
1136	23695.5331
1137	23702.2048
1138	23708.8308
1139	23715.5284
1140	23721.9694
1141	23729.1251
1142	23735.8498
1143	23742.466
1144	23749.1722
1145	23756.1673
1146	23763.5403
1147	23769.3666
1148	23776.0419
1149	23782.9949
1150	23789.5362
1151	23795.8689
1152	23800.2715
1153	23806.823
1154	23814.0052
1155	23820.7839
1156	23827.0621
1157	23833.4214
1158	23840.6065
1159	23846.7737
1160	23853.6408
1161	23859.7289
1162	23867.2102
1163	23873.5234
1164	23880.103
1165	23886.726
1166	23893.4551
1167	23899.8991
1168	23904.1466
1169	23910.5059
1170	23917.1643
1171	23923.8374
1172	23930.1248
1173	23936.9799
1174	23943.2103
1175	23949.8907
1176	23956.7548
1177	23962.6774
1178	23969.7285
1179	23974.9908
1180	23982.4926
1181	23988.6335
1182	23996.0787
1183	24002.2096
1184	24006.4677
1185	24012.4929
1186	24019.2949
1187	24025.7042
1188	24032.3162
1189	24038.53
1190	24044.8377
1191	24051.9197
1192	24058.4167
1193	24064.6995
1194	24070.8732
1195	24077.231
1196	24084.727
1197	24090.7584
1198	24096.7191
1199	24102.8869
